Iteration,Source_Folder,Image_File,GroundTruth_ID,Mask_Flag,Mask_Type,Detected_ID,Similarity_Score,Threshold,Status,Result_Description
15,Masked Images,001086__CLT__masked.jpg,001086,CLT,Cloth Mask,001086,0.9645,0.35,TP,CORRECT_MATCH
16,New_Images,007650.jpg,007650,NONE,Unmasked,UNRECOGNIZED,0.2636,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
17,New_Images,008708.jpg,008708,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
18,New_Images,006699.jpg,006699,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
19,New_Images,008090.jpg,008090,NONE,Unmasked,UNRECOGNIZED,0.2624,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
20,Masked Images,000772__N95__masked.jpg,000772,N95,N95 Mask,000772,0.8165,0.35,TP,CORRECT_MATCH
21,New_Images,008459.jpg,008459,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
22,New_Images,008130.jpg,008130,NONE,Unmasked,UNRECOGNIZED,0.2412,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
23,New_Images,007066.jpg,007066,NONE,Unmasked,002241,0.3614,0.35,FP,MISIDENTIFIED_AS_002241
24,New_Images,008771.jpg,008771,NONE,Unmasked,UNRECOGNIZED,0.2445,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
25,New_Images,009025.jpg,009025,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
26,New_Images,006908.jpg,006908,NONE,Unmasked,UNRECOGNIZED,0.3011,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
27,New_Images,008194.jpg,008194,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
28,Masked Images,000462__K95__masked.jpg,000462,K95,KN95 Mask,000462,0.9398,0.35,TP,CORRECT_MATCH
29,New_Images,007303.jpg,007303,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
30,New_Images,006370.jpg,006370,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
31,Masked Images,001077__GAS__masked.jpg,001077,GAS,Gas Mask,001077,0.9271,0.35,TP,CORRECT_MATCH
32,New_Images,007216.jpg,007216,NONE,Unmasked,UNRECOGNIZED,0.229,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
33,Masked Images,000924__SUR__masked.jpg,000924,SUR,Surgical Mask,000924,0.9107,0.35,TP,CORRECT_MATCH
34,New_Images,008721.jpg,008721,NONE,Unmasked,UNRECOGNIZED,0.2374,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
35,Masked Images,001098__SUR__masked.jpg,001098,SUR,Surgical Mask,001098,0.9131,0.35,TP,CORRECT_MATCH
36,New_Images,005801.jpg,005801,NONE,Unmasked,UNRECOGNIZED,0.2394,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
37,New_Images,009162.jpg,009162,NONE,Unmasked,UNRECOGNIZED,0.2812,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
38,Masked Images,000257__GAS__masked.jpg,000257,GAS,Gas Mask,000257,0.9283,0.35,TP,CORRECT_MATCH
39,New_Images,008563.jpg,008563,NONE,Unmasked,UNRECOGNIZED,0.3124,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
40,New_Images,006957.jpg,006957,NONE,Unmasked,UNRECOGNIZED,0.2294,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
41,New_Images,006669.jpg,006669,NONE,Unmasked,UNRECOGNIZED,0.217,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
42,New_Images,009255.jpg,009255,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
43,New_Images,007278.jpg,007278,NONE,Unmasked,UNRECOGNIZED,0.27,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
44,New_Images,009236.jpg,009236,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
45,New_Images,008376.jpg,008376,NONE,Unmasked,001639,0.386,0.35,FP,MISIDENTIFIED_AS_001639
46,Masked Images,000157__N95__masked.jpg,000157,N95,N95 Mask,000157,0.8255,0.35,TP,CORRECT_MATCH
47,New_Images,007009.jpg,007009,NONE,Unmasked,UNRECOGNIZED,0.2543,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
48,New_Images,009246.jpg,009246,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
49,New_Images,007773.jpg,007773,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
50,New_Images,007445.jpg,007445,NONE,Unmasked,UNRECOGNIZED,0.2732,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
51,New_Images,005969.jpg,005969,NONE,Unmasked,UNRECOGNIZED,0.2985,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
52,Masked Images,000466__N95__masked.jpg,000466,N95,N95 Mask,000466,0.8484,0.35,TP,CORRECT_MATCH
53,New_Images,007305.jpg,007305,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
54,New_Images,005636.jpg,005636,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
55,New_Images,008868.jpg,008868,NONE,Unmasked,UNRECOGNIZED,0.2269,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
56,New_Images,008590.jpg,008590,NONE,Unmasked,UNRECOGNIZED,0.2903,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
57,New_Images,008552.jpg,008552,NONE,Unmasked,UNRECOGNIZED,0.2151,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
58,New_Images,009611.jpg,009611,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
59,Masked Images,000456__N95__masked.jpg,000456,N95,N95 Mask,000456,0.817,0.35,TP,CORRECT_MATCH
60,Masked Images,000957__K95__masked.jpg,000957,K95,KN95 Mask,000957,0.8814,0.35,TP,CORRECT_MATCH
61,Masked Images,000650__GAS__masked.jpg,000650,GAS,Gas Mask,000650,0.9032,0.35,TP,CORRECT_MATCH
62,Masked Images,000336__N95__masked.jpg,000336,N95,N95 Mask,000336,0.8771,0.35,TP,CORRECT_MATCH
63,New_Images,005857.jpg,005857,NONE,Unmasked,UNRECOGNIZED,0.2457,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
64,Masked Images,000086__N95__masked.jpg,000086,N95,N95 Mask,000086,0.8873,0.35,TP,CORRECT_MATCH
65,New_Images,009066.jpg,009066,NONE,Unmasked,UNRECOGNIZED,0.2338,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
66,New_Images,007373.jpg,007373,NONE,Unmasked,UNRECOGNIZED,0.2159,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
67,New_Images,005050.jpg,005050,NONE,Unmasked,UNRECOGNIZED,0.2323,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
68,Masked Images,001105__K95__masked.jpg,001105,K95,KN95 Mask,001105,0.94,0.35,TP,CORRECT_MATCH
69,New_Images,006696.jpg,006696,NONE,Unmasked,UNRECOGNIZED,0.2446,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
70,New_Images,007306.jpg,007306,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
71,New_Images,006879.jpg,006879,NONE,Unmasked,UNRECOGNIZED,0.2368,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
72,New_Images,006997.jpg,006997,NONE,Unmasked,UNRECOGNIZED,0.2923,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
73,New_Images,005873.jpg,005873,NONE,Unmasked,UNRECOGNIZED,0.2345,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
74,New_Images,007367.jpg,007367,NONE,Unmasked,UNRECOGNIZED,0.2853,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
75,Masked Images,000963__CLT__masked.jpg,000963,CLT,Cloth Mask,000963,0.9511,0.35,TP,CORRECT_MATCH
76,Masked Images,000681__SUR__masked.jpg,000681,SUR,Surgical Mask,000681,0.9321,0.35,TP,CORRECT_MATCH
77,New_Images,005010.jpg,005010,NONE,Unmasked,UNRECOGNIZED,0.2327,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
78,New_Images,008105.jpg,008105,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
79,New_Images,008754.jpg,008754,NONE,Unmasked,UNRECOGNIZED,0.2617,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
80,Masked Images,000338__CLT__masked.jpg,000338,CLT,Cloth Mask,000338,0.9008,0.35,TP,CORRECT_MATCH
81,New_Images,006866.jpg,006866,NONE,Unmasked,UNRECOGNIZED,0.2408,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
82,Masked Images,000837__SUR__masked.jpg,000837,SUR,Surgical Mask,000837,0.8763,0.35,TP,CORRECT_MATCH
83,New_Images,007721.jpg,007721,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
84,New_Images,006028.jpg,006028,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
85,New_Images,005142.jpg,005142,NONE,Unmasked,UNRECOGNIZED,0.2122,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
86,New_Images,007467.jpg,007467,NONE,Unmasked,UNRECOGNIZED,0.2531,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
87,New_Images,005837.jpg,005837,NONE,Unmasked,UNRECOGNIZED,0.2896,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
88,New_Images,009468.jpg,009468,NONE,Unmasked,UNRECOGNIZED,0.2709,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
89,Masked Images,000861__GAS__masked.jpg,000861,GAS,Gas Mask,000861,0.9346,0.35,TP,CORRECT_MATCH
90,New_Images,007630.jpg,007630,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
91,Masked Images,000398__K95__masked.jpg,000398,K95,KN95 Mask,000398,0.9239,0.35,TP,CORRECT_MATCH
92,New_Images,005354.jpg,005354,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
93,New_Images,007662.jpg,007662,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
94,Masked Images,000884__N95__masked.jpg,000884,N95,N95 Mask,000884,0.7509,0.35,TP,CORRECT_MATCH
95,New_Images,008018.jpg,008018,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
96,New_Images,009379.jpg,009379,NONE,Unmasked,UNRECOGNIZED,0.2292,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
97,New_Images,007364.jpg,007364,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
98,Masked Images,000168__GAS__masked.jpg,000168,GAS,Gas Mask,000168,0.8421,0.35,TP,CORRECT_MATCH
99,New_Images,008080.jpg,008080,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
100,New_Images,005247.jpg,005247,NONE,Unmasked,UNRECOGNIZED,0.2755,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
101,New_Images,007217.jpg,007217,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
102,New_Images,007651.jpg,007651,NONE,Unmasked,UNRECOGNIZED,0.2643,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
103,Masked Images,000760__GAS__masked.jpg,000760,GAS,Gas Mask,000760,0.6991,0.35,TP,CORRECT_MATCH
104,New_Images,009404.jpg,009404,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
105,Masked Images,000911__K95__masked.jpg,000911,K95,KN95 Mask,000911,0.8253,0.35,TP,CORRECT_MATCH
106,New_Images,005294.jpg,005294,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
107,New_Images,007801.jpg,007801,NONE,Unmasked,UNRECOGNIZED,0.2562,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
108,New_Images,008159.jpg,008159,NONE,Unmasked,UNRECOGNIZED,0.2186,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
109,Masked Images,000902__CLT__masked.jpg,000902,CLT,Cloth Mask,000902,0.8763,0.35,TP,CORRECT_MATCH
110,New_Images,009026.jpg,009026,NONE,Unmasked,UNRECOGNIZED,0.237,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
111,New_Images,009315.jpg,009315,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
112,New_Images,009001.jpg,009001,NONE,Unmasked,UNRECOGNIZED,0.2789,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
113,New_Images,006587.jpg,006587,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
114,Masked Images,000033__SUR__masked.jpg,000033,SUR,Surgical Mask,000033,0.9315,0.35,TP,CORRECT_MATCH
115,New_Images,005944.jpg,005944,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
116,New_Images,008247.jpg,008247,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
117,New_Images,008513.jpg,008513,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
118,Masked Images,000706__SUR__masked.jpg,000706,SUR,Surgical Mask,000706,0.9181,0.35,TP,CORRECT_MATCH
119,Masked Images,001090__K95__masked.jpg,001090,K95,KN95 Mask,001090,0.9528,0.35,TP,CORRECT_MATCH
120,New_Images,006245.jpg,006245,NONE,Unmasked,UNRECOGNIZED,0.233,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
121,Masked Images,000460__SUR__masked.jpg,000460,SUR,Surgical Mask,000460,0.846,0.35,TP,CORRECT_MATCH
122,New_Images,005804.jpg,005804,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
123,New_Images,008801.jpg,008801,NONE,Unmasked,UNRECOGNIZED,0.2551,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
124,Masked Images,000727__N95__masked.jpg,000727,N95,N95 Mask,000727,0.8966,0.35,TP,CORRECT_MATCH
125,Masked Images,001128__CLT__masked.jpg,001128,CLT,Cloth Mask,001128,0.9639,0.35,TP,CORRECT_MATCH
126,New_Images,007002.jpg,007002,NONE,Unmasked,UNRECOGNIZED,0.202,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
127,New_Images,005630.jpg,005630,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
128,New_Images,007766.jpg,007766,NONE,Unmasked,UNRECOGNIZED,0.2616,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
129,New_Images,005832.jpg,005832,NONE,Unmasked,UNRECOGNIZED,0.3118,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
130,New_Images,008203.jpg,008203,NONE,Unmasked,UNRECOGNIZED,0.3018,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
131,New_Images,008260.jpg,008260,NONE,Unmasked,UNRECOGNIZED,0.207,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
132,New_Images,008938.jpg,008938,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
133,Masked Images,000413__K95__masked.jpg,000413,K95,KN95 Mask,000413,0.9078,0.35,TP,CORRECT_MATCH
134,Masked Images,001157__N95__masked.jpg,001157,N95,N95 Mask,001157,0.8264,0.35,TP,CORRECT_MATCH
135,Masked Images,000242__GAS__masked.jpg,000242,GAS,Gas Mask,000242,0.91,0.35,TP,CORRECT_MATCH
136,New_Images,006942.jpg,006942,NONE,Unmasked,UNRECOGNIZED,0.2432,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
137,New_Images,009564.jpg,009564,NONE,Unmasked,UNRECOGNIZED,0.2839,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
138,Masked Images,000841__GAS__masked.jpg,000841,GAS,Gas Mask,000841,0.7685,0.35,TP,CORRECT_MATCH
139,Masked Images,000176__K95__masked.jpg,000176,K95,KN95 Mask,000176,0.9643,0.35,TP,CORRECT_MATCH
140,New_Images,005656.jpg,005656,NONE,Unmasked,UNRECOGNIZED,0.2119,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
141,New_Images,008921.jpg,008921,NONE,Unmasked,UNRECOGNIZED,0.2318,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
142,New_Images,005425.jpg,005425,NONE,Unmasked,UNRECOGNIZED,0.294,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
143,New_Images,008328.jpg,008328,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
144,New_Images,005031.jpg,005031,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
145,New_Images,006677.jpg,006677,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
146,New_Images,005984.jpg,005984,NONE,Unmasked,UNRECOGNIZED,0.2499,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
147,New_Images,009337.jpg,009337,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
148,New_Images,007187.jpg,007187,NONE,Unmasked,UNRECOGNIZED,0.3096,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
149,New_Images,006467.jpg,006467,NONE,Unmasked,UNRECOGNIZED,0.2331,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
150,Masked Images,000971__N95__masked.jpg,000971,N95,N95 Mask,000971,0.8637,0.35,TP,CORRECT_MATCH
151,New_Images,009214.jpg,009214,NONE,Unmasked,UNRECOGNIZED,0.221,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
152,New_Images,005805.jpg,005805,NONE,Unmasked,UNRECOGNIZED,0.2918,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
153,Masked Images,000563__K95__masked.jpg,000563,K95,KN95 Mask,000563,0.8907,0.35,TP,CORRECT_MATCH
154,New_Images,009187.jpg,009187,NONE,Unmasked,UNRECOGNIZED,0.259,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
155,Masked Images,000091__N95__masked.jpg,000091,N95,N95 Mask,000091,0.8923,0.35,TP,CORRECT_MATCH
156,New_Images,007480.jpg,007480,NONE,Unmasked,UNRECOGNIZED,0.2741,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
157,New_Images,007930.jpg,007930,NONE,Unmasked,UNRECOGNIZED,0.2414,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
158,New_Images,005254.jpg,005254,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
159,New_Images,009577.jpg,009577,NONE,Unmasked,UNRECOGNIZED,0.2977,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
160,Masked Images,000118__CLT__masked.jpg,000118,CLT,Cloth Mask,000118,0.9561,0.35,TP,CORRECT_MATCH
161,New_Images,008027.jpg,008027,NONE,Unmasked,UNRECOGNIZED,0.232,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
162,New_Images,008359.jpg,008359,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
163,New_Images,008187.jpg,008187,NONE,Unmasked,UNRECOGNIZED,0.2496,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
164,New_Images,006747.jpg,006747,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
165,New_Images,008911.jpg,008911,NONE,Unmasked,UNRECOGNIZED,0.2355,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
166,New_Images,009225.jpg,009225,NONE,Unmasked,UNRECOGNIZED,0.2472,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
167,New_Images,006244.jpg,006244,NONE,Unmasked,UNRECOGNIZED,0.2649,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
168,New_Images,007099.jpg,007099,NONE,Unmasked,UNRECOGNIZED,0.2074,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
169,New_Images,008128.jpg,008128,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
170,New_Images,008301.jpg,008301,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
171,New_Images,007507.jpg,007507,NONE,Unmasked,UNRECOGNIZED,0.272,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
172,New_Images,006556.jpg,006556,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
173,New_Images,008626.jpg,008626,NONE,Unmasked,UNRECOGNIZED,0.1922,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
174,New_Images,006574.jpg,006574,NONE,Unmasked,UNRECOGNIZED,0.26,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
175,New_Images,007785.jpg,007785,NONE,Unmasked,UNRECOGNIZED,0.2429,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
176,Masked Images,000697__N95__masked.jpg,000697,N95,N95 Mask,000697,0.884,0.35,TP,CORRECT_MATCH
177,New_Images,008570.jpg,008570,NONE,Unmasked,UNRECOGNIZED,0.2599,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
178,New_Images,006810.jpg,006810,NONE,Unmasked,UNRECOGNIZED,0.2559,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
179,New_Images,008894.jpg,008894,NONE,Unmasked,UNRECOGNIZED,0.2427,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
180,New_Images,007683.jpg,007683,NONE,Unmasked,UNRECOGNIZED,0.1994,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
181,New_Images,005993.jpg,005993,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
182,New_Images,008715.jpg,008715,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
183,New_Images,009145.jpg,009145,NONE,Unmasked,UNRECOGNIZED,0.2213,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
184,New_Images,006837.jpg,006837,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
185,Masked Images,000669__CLT__masked.jpg,000669,CLT,Cloth Mask,000669,0.8901,0.35,TP,CORRECT_MATCH
186,New_Images,006433.jpg,006433,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
187,New_Images,007601.jpg,007601,NONE,Unmasked,UNRECOGNIZED,0.1866,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
188,New_Images,008623.jpg,008623,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
189,New_Images,005590.jpg,005590,NONE,Unmasked,UNRECOGNIZED,0.2559,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
190,Masked Images,000933__GAS__masked.jpg,000933,GAS,Gas Mask,000933,0.7748,0.35,TP,CORRECT_MATCH
191,Masked Images,000503__CLT__masked.jpg,000503,CLT,Cloth Mask,000503,0.9315,0.35,TP,CORRECT_MATCH
192,New_Images,008309.jpg,008309,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
193,New_Images,007172.jpg,007172,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
194,New_Images,009299.jpg,009299,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
195,New_Images,009270.jpg,009270,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
196,New_Images,007032.jpg,007032,NONE,Unmasked,UNRECOGNIZED,0.2357,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
197,New_Images,007083.jpg,007083,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
198,New_Images,007598.jpg,007598,NONE,Unmasked,UNRECOGNIZED,0.2096,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
199,New_Images,008364.jpg,008364,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
200,New_Images,005327.jpg,005327,NONE,Unmasked,UNRECOGNIZED,0.2487,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
201,New_Images,007434.jpg,007434,NONE,Unmasked,UNRECOGNIZED,0.2946,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
202,New_Images,006791.jpg,006791,NONE,Unmasked,UNRECOGNIZED,0.2563,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
203,New_Images,009574.jpg,009574,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
204,New_Images,005054.jpg,005054,NONE,Unmasked,UNRECOGNIZED,0.2313,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
205,New_Images,005193.jpg,005193,NONE,Unmasked,UNRECOGNIZED,0.2064,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
206,New_Images,008612.jpg,008612,NONE,Unmasked,NO_FACE_DETECTED,0.0,0.35,TN,No Face Detected by SCRFD
