Iteration,Source_Folder,Image_File,GroundTruth_ID,Detected_ID,Similarity_Score,Threshold,Status,Result_Description
97,New_Images,005509.jpg,5509,UNRECOGNIZED,0.2434,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
98,New_Images,005966.jpg,5966,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
99,Real Images,003097.jpg,3097,3097,1,0.35,TP,CORRECT_MATCH
100,Real Images,004427.jpg,4427,4427,1,0.35,TP,CORRECT_MATCH
101,New_Images,006409.jpg,6409,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
102,Real Images,000641.jpg,641,641,1,0.35,TP,CORRECT_MATCH
103,Real Images,001073.jpg,1073,1073,1,0.35,TP,CORRECT_MATCH
104,New_Images,005480.jpg,5480,UNRECOGNIZED,0.2158,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
105,New_Images,007001.jpg,7001,UNRECOGNIZED,0.2733,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
106,New_Images,007527.jpg,7527,UNRECOGNIZED,0.2497,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
107,New_Images,007519.jpg,7519,UNRECOGNIZED,0.2463,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
108,New_Images,007877.jpg,7877,UNRECOGNIZED,0.2225,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
109,New_Images,009524.jpg,9524,UNRECOGNIZED,0.3407,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
110,New_Images,006834.jpg,6834,UNRECOGNIZED,0.2829,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
111,New_Images,006222.jpg,6222,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
112,New_Images,008169.jpg,8169,UNRECOGNIZED,0.2314,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
113,Real Images,002163.jpg,2163,2163,1,0.35,TP,CORRECT_MATCH
114,Real Images,002741.jpg,2741,2741,1,0.35,TP,CORRECT_MATCH
115,Real Images,003234.jpg,3234,3234,1,0.35,TP,CORRECT_MATCH
116,Real Images,003678.jpg,3678,3678,1,0.35,TP,CORRECT_MATCH
117,New_Images,009471.jpg,9471,UNRECOGNIZED,0.2227,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
118,Real Images,002499.jpg,2499,2499,1,0.35,TP,CORRECT_MATCH
119,New_Images,005262.jpg,5262,UNRECOGNIZED,0.2175,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
120,Real Images,001761.jpg,1761,1761,1,0.35,TP,CORRECT_MATCH
121,New_Images,005954.jpg,5954,UNRECOGNIZED,0.2477,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
122,Real Images,000807.jpg,807,807,1,0.35,TP,CORRECT_MATCH
123,Real Images,003975.jpg,3975,3975,1,0.35,TP,CORRECT_MATCH
124,Real Images,001678.jpg,1678,1678,1,0.35,TP,CORRECT_MATCH
125,Real Images,004901.jpg,4901,4901,1,0.35,TP,CORRECT_MATCH
126,Real Images,002123.jpg,2123,2123,1,0.35,TP,CORRECT_MATCH
127,New_Images,005997.jpg,5997,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
128,New_Images,006723.jpg,6723,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
129,Real Images,002582.jpg,2582,2582,1,0.35,TP,CORRECT_MATCH
130,Real Images,000878.jpg,878,878,1,0.35,TP,CORRECT_MATCH
131,New_Images,009217.jpg,9217,UNRECOGNIZED,0.2682,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
132,Real Images,004762.jpg,4762,4762,1,0.35,TP,CORRECT_MATCH
133,Real Images,000837.jpg,837,837,1,0.35,TP,CORRECT_MATCH
134,Real Images,001582.jpg,1582,1582,1,0.35,TP,CORRECT_MATCH
135,New_Images,007288.jpg,7288,UNRECOGNIZED,0.265,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
136,New_Images,005590.jpg,5590,UNRECOGNIZED,0.2559,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
137,Real Images,000287.jpg,287,287,1,0.35,TP,CORRECT_MATCH
138,New_Images,008623.jpg,8623,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
139,New_Images,006955.jpg,6955,UNRECOGNIZED,0.2511,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
140,New_Images,008488.jpg,8488,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
141,Real Images,004282.jpg,4282,4282,1,0.35,TP,CORRECT_MATCH
142,Real Images,004525.jpg,4525,4525,1,0.35,TP,CORRECT_MATCH
143,New_Images,006650.jpg,6650,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
144,New_Images,009411.jpg,9411,UNRECOGNIZED,0.2638,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
145,New_Images,006519.jpg,6519,UNRECOGNIZED,0.2232,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
146,New_Images,009123.jpg,9123,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
147,Real Images,003371.jpg,3371,3371,1,0.35,TP,CORRECT_MATCH
148,New_Images,005629.jpg,5629,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
149,Real Images,004323.jpg,4323,4323,1,0.35,TP,CORRECT_MATCH
150,Real Images,000576.jpg,576,576,1,0.35,TP,CORRECT_MATCH
151,Real Images,004588.jpg,4588,4588,1,0.35,TP,CORRECT_MATCH
152,New_Images,007757.jpg,7757,UNRECOGNIZED,0.2741,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
153,Real Images,003739.jpg,3739,3739,1,0.35,TP,CORRECT_MATCH
154,Real Images,002740.jpg,2740,2740,1,0.35,TP,CORRECT_MATCH
155,Real Images,004932.jpg,4932,4932,1,0.35,TP,CORRECT_MATCH
156,New_Images,006116.jpg,6116,UNRECOGNIZED,0.2533,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
157,New_Images,008710.jpg,8710,UNRECOGNIZED,0.2582,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
158,New_Images,006297.jpg,6297,UNRECOGNIZED,0.3179,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
159,New_Images,006765.jpg,6765,UNRECOGNIZED,0.2647,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
160,Real Images,004412.jpg,4412,4412,1,0.35,TP,CORRECT_MATCH
161,Real Images,004887.jpg,4887,4887,1,0.35,TP,CORRECT_MATCH
162,New_Images,007534.jpg,7534,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
163,Real Images,001429.jpg,1429,1429,1,0.35,TP,CORRECT_MATCH
164,Real Images,001629.jpg,1629,1629,1,0.35,TP,CORRECT_MATCH
165,New_Images,009457.jpg,9457,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
166,Real Images,000960.jpg,960,960,1,0.35,TP,CORRECT_MATCH
167,New_Images,006452.jpg,6452,UNRECOGNIZED,0.2304,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
168,New_Images,009024.jpg,9024,UNRECOGNIZED,0.276,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
169,New_Images,009584.jpg,9584,UNRECOGNIZED,0.216,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
170,New_Images,009598.jpg,9598,UNRECOGNIZED,0.2441,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
171,New_Images,008340.jpg,8340,UNRECOGNIZED,0.2505,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
172,New_Images,008407.jpg,8407,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
173,Real Images,004354.jpg,4354,4354,1,0.35,TP,CORRECT_MATCH
174,Real Images,003105.jpg,3105,3105,1,0.35,TP,CORRECT_MATCH
175,Real Images,002679.jpg,2679,2679,1,0.35,TP,CORRECT_MATCH
176,Real Images,000312.jpg,312,312,1,0.35,TP,CORRECT_MATCH
177,Real Images,000199.jpg,199,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
178,New_Images,006743.jpg,6743,UNRECOGNIZED,0.2568,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
179,Real Images,003422.jpg,3422,3422,1,0.35,TP,CORRECT_MATCH
180,New_Images,005357.jpg,5357,UNRECOGNIZED,0.2602,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
181,Real Images,001381.jpg,1381,1381,1,0.35,TP,CORRECT_MATCH
182,Real Images,001668.jpg,1668,1668,1,0.35,TP,CORRECT_MATCH
183,Real Images,002861.jpg,2861,2861,1,0.35,TP,CORRECT_MATCH
184,Real Images,000527.jpg,527,527,1,0.35,TP,CORRECT_MATCH
185,Real Images,000192.jpg,192,192,1,0.35,TP,CORRECT_MATCH
186,Real Images,004676.jpg,4676,4676,1,0.35,TP,CORRECT_MATCH
187,New_Images,006182.jpg,6182,UNRECOGNIZED,0.2398,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
188,Real Images,000761.jpg,761,761,1,0.35,TP,CORRECT_MATCH
189,New_Images,005541.jpg,5541,UNRECOGNIZED,0.2612,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
190,Real Images,003449.jpg,3449,3449,1,0.35,TP,CORRECT_MATCH
191,New_Images,007348.jpg,7348,UNRECOGNIZED,0.2658,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
192,Real Images,000170.jpg,170,170,1,0.35,TP,CORRECT_MATCH
193,Real Images,003130.jpg,3130,3130,1,0.35,TP,CORRECT_MATCH
194,New_Images,008634.jpg,8634,UNRECOGNIZED,0.245,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
195,Real Images,003206.jpg,3206,3206,1,0.35,TP,CORRECT_MATCH
196,New_Images,008423.jpg,8423,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
197,New_Images,005715.jpg,5715,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
198,Real Images,003213.jpg,3213,3213,1,0.35,TP,CORRECT_MATCH
199,Real Images,004591.jpg,4591,4591,1,0.35,TP,CORRECT_MATCH
200,Real Images,001619.jpg,1619,1619,1,0.35,TP,CORRECT_MATCH
201,New_Images,005183.jpg,5183,UNRECOGNIZED,0.2702,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
202,New_Images,005035.jpg,5035,UNRECOGNIZED,0.213,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
203,New_Images,005030.jpg,5030,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
204,New_Images,006921.jpg,6921,UNRECOGNIZED,0.2685,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
205,New_Images,008828.jpg,8828,UNRECOGNIZED,0.2314,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
206,New_Images,007904.jpg,7904,UNRECOGNIZED,0.3057,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
207,Real Images,003973.jpg,3973,3973,1,0.35,TP,CORRECT_MATCH
208,Real Images,003245.jpg,3245,3245,1,0.35,TP,CORRECT_MATCH
209,New_Images,008996.jpg,8996,UNRECOGNIZED,0.206,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
210,New_Images,008817.jpg,8817,UNRECOGNIZED,0.2544,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
211,Real Images,003944.jpg,3944,3944,1,0.35,TP,CORRECT_MATCH
212,New_Images,008625.jpg,8625,UNRECOGNIZED,0.2554,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
213,Real Images,004455.jpg,4455,4455,1,0.35,TP,CORRECT_MATCH
214,New_Images,008722.jpg,8722,UNRECOGNIZED,0.2293,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
215,Real Images,004748.jpg,4748,4748,1,0.35,TP,CORRECT_MATCH
216,Real Images,003741.jpg,3741,3741,1,0.35,TP,CORRECT_MATCH
217,Real Images,004871.jpg,4871,4871,1,0.35,TP,CORRECT_MATCH
218,Real Images,000206.jpg,206,206,1,0.35,TP,CORRECT_MATCH
219,Real Images,000662.jpg,662,662,1,0.35,TP,CORRECT_MATCH
220,Real Images,000796.jpg,796,796,1,0.35,TP,CORRECT_MATCH
221,Real Images,002001.jpg,2001,2001,1,0.35,TP,CORRECT_MATCH
222,Real Images,000362.jpg,362,362,1,0.35,TP,CORRECT_MATCH
223,Real Images,003621.jpg,3621,3621,1,0.35,TP,CORRECT_MATCH
224,New_Images,007856.jpg,7856,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
225,Real Images,000193.jpg,193,193,1,0.35,TP,CORRECT_MATCH
226,New_Images,007783.jpg,7783,UNRECOGNIZED,0.2279,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
227,Real Images,002397.jpg,2397,2397,1,0.35,TP,CORRECT_MATCH
228,New_Images,006652.jpg,6652,UNRECOGNIZED,0.2024,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
229,Real Images,002649.jpg,2649,2649,1,0.35,TP,CORRECT_MATCH
230,Real Images,004002.jpg,4002,4002,1,0.35,TP,CORRECT_MATCH
231,Real Images,003412.jpg,3412,3412,1,0.35,TP,CORRECT_MATCH
232,New_Images,005788.jpg,5788,UNRECOGNIZED,0.238,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
233,Real Images,001334.jpg,1334,1334,1,0.35,TP,CORRECT_MATCH
234,New_Images,005175.jpg,5175,UNRECOGNIZED,0.3128,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
235,New_Images,009006.jpg,9006,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
236,Real Images,000659.jpg,659,659,1,0.35,TP,CORRECT_MATCH
237,Real Images,004568.jpg,4568,4568,1,0.35,TP,CORRECT_MATCH
238,Real Images,001461.jpg,1461,1461,1,0.35,TP,CORRECT_MATCH
239,New_Images,008856.jpg,8856,UNRECOGNIZED,0.2776,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
240,New_Images,006278.jpg,6278,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
241,Real Images,001755.jpg,1755,1755,1,0.35,TP,CORRECT_MATCH
242,New_Images,007025.jpg,7025,UNRECOGNIZED,0.2666,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
243,Real Images,004485.jpg,4485,4485,1,0.35,TP,CORRECT_MATCH
244,New_Images,005643.jpg,5643,UNRECOGNIZED,0.2756,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
245,Real Images,004851.jpg,4851,4851,1,0.35,TP,CORRECT_MATCH
246,New_Images,008458.jpg,8458,UNRECOGNIZED,0.2315,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
247,New_Images,006520.jpg,6520,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
248,New_Images,006720.jpg,6720,UNRECOGNIZED,0.3068,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
249,Real Images,004057.jpg,4057,4057,1,0.35,TP,CORRECT_MATCH
250,New_Images,009037.jpg,9037,UNRECOGNIZED,0.2621,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
251,Real Images,000510.jpg,510,510,1,0.35,TP,CORRECT_MATCH
252,Real Images,001799.jpg,1799,1799,1,0.35,TP,CORRECT_MATCH
253,Real Images,002543.jpg,2543,2543,1,0.35,TP,CORRECT_MATCH
254,Real Images,001466.jpg,1466,1466,1,0.35,TP,CORRECT_MATCH
255,Real Images,001275.jpg,1275,1275,1,0.35,TP,CORRECT_MATCH
256,Real Images,001956.jpg,1956,1956,1,0.35,TP,CORRECT_MATCH
257,Real Images,000629.jpg,629,629,1,0.35,TP,CORRECT_MATCH
258,New_Images,007269.jpg,7269,UNRECOGNIZED,0.2327,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
259,Real Images,003720.jpg,3720,3720,1,0.35,TP,CORRECT_MATCH
260,New_Images,005761.jpg,5761,UNRECOGNIZED,0.2355,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
261,New_Images,008995.jpg,8995,UNRECOGNIZED,0.2753,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
262,Real Images,002602.jpg,2602,2602,1,0.35,TP,CORRECT_MATCH
263,New_Images,006400.jpg,6400,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
264,Real Images,002899.jpg,2899,2899,1,0.35,TP,CORRECT_MATCH
265,Real Images,003968.jpg,3968,3968,1,0.35,TP,CORRECT_MATCH
266,New_Images,005841.jpg,5841,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
267,New_Images,005735.jpg,5735,UNRECOGNIZED,0.2462,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
268,Real Images,000277.jpg,277,277,1,0.35,TP,CORRECT_MATCH
269,New_Images,007472.jpg,7472,UNRECOGNIZED,0.2936,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
270,Real Images,003814.jpg,3814,3814,1,0.35,TP,CORRECT_MATCH
271,New_Images,007967.jpg,7967,UNRECOGNIZED,0.2488,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
272,New_Images,008645.jpg,8645,UNRECOGNIZED,0.2874,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
273,Real Images,004859.jpg,4859,4859,1,0.35,TP,CORRECT_MATCH
274,Real Images,002739.jpg,2739,2739,1,0.35,TP,CORRECT_MATCH
275,Real Images,004257.jpg,4257,4257,1,0.35,TP,CORRECT_MATCH
276,New_Images,006313.jpg,6313,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
277,Real Images,001386.jpg,1386,1386,1,0.35,TP,CORRECT_MATCH
278,New_Images,009466.jpg,9466,UNRECOGNIZED,0.2819,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
279,New_Images,006744.jpg,6744,NO_FACE_DETECTED,0,0.35,TN,No Face Detected by SCRFD
280,Real Images,000897.jpg,897,897,1,0.35,TP,CORRECT_MATCH
281,New_Images,008720.jpg,8720,UNRECOGNIZED,0.2815,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
282,New_Images,006672.jpg,6672,UNRECOGNIZED,0.231,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
283,New_Images,007087.jpg,7087,UNRECOGNIZED,0.2415,0.35,TN,CORRECTLY_REJECTED_UNKNOWN
